note;sound;sound_group
27;High Q;High Q
28;Slap;Slap
29;Scratch Push;Scratch
30;Scratch Pull;Scratch
31;Sticks;Stick
32;Square Click;Square
33;Metronome Click;Metronome
34;Metronome Bell;Metronome
35;Bass Drum 2;Drum
36;Bass Drum 1;Drum
37;Side Stick;Side Stick
38;Snare Drum 1;Snare
39;Hand Clap;Hand clap
40;Snare Drum 2;Snare
41;Low Tom 2;Tom
42;Closed Hi-hat;HiHat
43;Low Tom 1;Tom
44;Pedal Hi-hat;HiHat
45;Mid Tom 2;Tom
46;Open Hi-hat;Open HiHat
47;Mid Tom 1;Tom
48;High Tom 2;Tom
49;Crash Cymbal 1;crash
50;High Tom 1;Tom
51;Ride Cymbal 1;ride
52;Chinese Cymbal;Cynbal
53;Ride Bell;ride
54;Tambourine;Tambourine
55;Splash Cymbal;Cynbal
56;Cowbell;Cencerro
57;Crash Cymbal 2;Cynbal
58;Vibra Slap;Vibra Slap
59;Ride Cymbal 2;ride
60;High Bongo;Bongo
61;Low Bongo;Bongo
62;Mute High Conga;Conga
63;Open High Conga;Conga
64;Low Conga;Conga
65;High Timbale;Timbale
66;Low Timbale;Timbale
67;High Agogo;Agogo
68;Low Agogo;Agogo
69;Cabasa;Cabasa
70;Maracas;Maracas
71;Short Whistle;Whistle
72;Long Whistle;Whistle
73;Short Guiro;Guiro
74;Long Guiro;Guiro
75;Claves;Claves
76;High Wood Block;Block
77;Low Wood Block;Block
78;Mute Cuica;Cuica
79;Open Cuica;Cuica
80;Mute Triangle;Triangle
81;Open Triangle;Triangle
82;Shaker;Shaker
83;Jingle Bell;Jingle bell
84;Belltree;Beltree
85;Castanets;Castanets
86;Mute Surdo;Surdo
87;Open Surdo;Surdo
1;other;other
2;other;other
3;other;other
4;other;other
5;other;other
6;other;other
7;other;other
8;other;other
9;other;other
10;other;other
11;other;other
12;other;other
13;other;other
14;other;other
15;other;other
16;other;other
17;other;other
18;other;other
19;other;other
20;other;other
21;other;other
22;other;other
23;other;other
24;other;other
25;other;other
26;other;other
88;other;other
89;other;other
90;other;other
91;other;other
92;other;other
93;other;other
94;other;other
95;other;other
96;other;other
97;other;other
98;other;other
99;other;other
100;other;other
101;other;other
102;other;other
103;other;other
104;other;other
105;other;other
106;other;other
107;other;other
108;other;other
109;other;other
110;other;other
111;other;other
112;other;other
113;other;other
114;other;other
115;other;other
116;other;other
117;other;other
118;other;other
119;other;other
120;other;other
121;other;other
122;other;other
123;other;other
124;other;other
125;other;other
126;other;other
