note_name;C;C#;D;D#;E;F;F#;G;G#;A;A#;B;Am;A#m;Bm;Cm;C#m;Dm;D#m;Em;Fm;F#m;Gm;G#m;C;C#;D;D#;E;F;F#;G;G#;A;A#;B;U
C;1;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;;2;;1
C#;;1;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;;2;1
D;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;;1
D#;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;1
E;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;1
F;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;1
F#;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;1
G;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;;;;4;3;;2;;1;7;;6;5;1
G#;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;;2;;1;7;;6;1
A;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;;2;;1;7;;1
A#;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;;2;;1;7;1
B;7;;6;;5;;4;3;;2;;1;7;;6;;5;;4;3;;2;;1;7;;6;5;;;4;3;;2;;1;1
